Facility Name,Facility Id,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Industry Type (subparts),Sectors_Industry_Type,Total reported direct emissions,CO2 emissions (non-biogenic),Methane (CH4) emissions,Nitrous Oxide (N2O) emissions,HFC emissions,PFC emissions,SF6 emissions,NF3 emissions,Other Fully Fluorinated GHG emissions,HFE emissions,Very Short-lived Compounds emissions,Other GHGs (metric tons CO2e),Biogenic CO2 emissions (metric tons),Stationary Combustion,Electricity Generation,Adipic Acid Production,Aluminum Production,Ammonia Manufacturing,Cement Production,Electronics Manufacture,Ferroalloy Production,Fluorinated GHG Production,Glass Production,HCFC–22 Production from HFC–23 Destruction,Hydrogen Production,Iron and Steel Production,Lead Production,Lime Production,Magnesium Production,Miscellaneous Use of Carbonates,Nitric Acid Production,Petrochemical Production,Petroleum Refining,Phosphoric Acid Production,Pulp and Paper Manufacturing,Silicon Carbide Production,Soda Ash Manufacturing,Titanium Dioxide Production,Underground Coal Mines,Zinc Production,Municipal Landfills,Industrial Wastewater Treatment,Manufacture of Electric Transmission and Distribution Equipment,Industrial Waste Landfills,Is some CO2 collected on-site and used to manufacture other products and therefore not emitted from the affected manufacturing process unit(s)? (as reported under Subpart G or S),"Is some CO2 reported as emissions from the affected manufacturing process unit(s) under Subpart AA, G or P collected and transferred off-site or injected (as reported under Subpart PP)?",Does the facility employ continuous emissions monitoring?,Column,Basin,Reported City,Reported State,Reported Zip Code,Reported Address,Reported County,Reported Latitude,Reported Longitude,Total reported emissions from Onshore Oil & Gas Production,State where Emissions Occur,Total reported direct emissions from Local Distribution Companies,Total reported direct emissions from Electrical Equipment Use,GHG Quantity Associated with Coal-based liquid fuel production,GHG Quantity Associated with Petroleum Products Produced,GHG Quantity Associated with Petroleum Products Imported,GHG Quantity Associated with Petroleum Products Exported,GHG Quantity Associated with Natural Gas Supply,GHG Quantity Associated with Natural Gas Liquids Supply,GHG Quantity Associated with CO2 Supply,Quantity of CO2 Received for Injection,Column2,D,Direct Emitter
HORRY COUNTY SOLID WASTE AUTHORITY INCORPORATED,1003394,Conway,SC,29526,1886 HIGHWAY 90,Horry,33.820322,-78.969288,562212,"C,HH",Waste,71476.478,,71428.5,47.978,,,,,,,,,13333.6,68.478,,,,,,,,,,,,,,,,,,,,,,,,,,,71408,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
HOUSTON COUNTY PUBLIC WORKS DEPARTMENT,1003983,Kathleen,GA,31047,2080 GA HWY 247 SOUTH,Houston,32.3996,-83.5509,562212,HH,Waste,50123.75,,50123.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50123.75,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
HOUSTON REFINING,1004130,Houston,TX,77017,12000 LAWNDALE AVENUE,Harris,29.7125,-95.235833,324110,"C,MM-REF,Y","Petroleum Product Suppliers,Refineries",2122976.186,2102286.9,15166.75,5522.536,,,,,,,,,,1105511.868,,,,,,,,,,,,,,,,,,,1017464.318,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
HOVENSA LLC,1006451,Christiansted,VI,820,1 ESTATE HOPE,Saint Croix,17.7102,-64.7544,324110,"C,MM-IMP,Y","Petroleum Product Suppliers,Refineries",87934.338,87777,125.75,31.588,,,,,,,,,,87821.838,,,,,,,,,,,,,,,,,,,112.5,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
HP HOOD LLC,1007515,Winchester,VA,22602,160 HOOD WAY,Frederick,39.1275,-78.189444,311511,C,Other,54431.044,54374.6,25.75,30.694,,,,,,,,,65,54431.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
HQ 101ST AIRBOURNE DIV,1004282,Fort Campbell,KY,42223,"BLDG 871, Bastogne Avenue",Christian,36.644556,-87.437861,928110,C,Other,47598.118,47548.5,22.5,27.118,,,,,,,,,,47598.118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
HUGOTON 1 CMP STN,1005881,Garden City,KS,67846,,Haskell,37.678217,-101.032367,211111,C,Petroleum and Natural Gas Systems,19743.376,19723.1,9.25,11.026,,,,,,,,,,19743.376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
HUNT REFINING COMPANY,1005879,Tuscaloosa,AL,35401,1855 FAIRLAWN RD.,Tuscaloosa,33.2003,-87.607,324110,"C,MM-REF,P,Y","Chemicals,Petroleum Product Suppliers,Refineries",867891.318,862292.1,2569.75,3029.468,,,,,,,,,,648134.712,,,,,,,,,,,188566.8,,,,,,,,31189.806,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
HUNT SOUTHLAND REFINING COMPANY,1002798,Heidelberg,MS,39439,177 Haney Road,Jasper,31.8167,-89.0089,324110,"C,MM-REF,Y","Petroleum Product Suppliers,Refineries",27835.432,27624.1,193.75,17.582,,,,,,,,,,27621.982,,,,,,,,,,,,,,,,,,,213.45,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
HUNTERDON COGENERATION LIMITED PARTNERSHIP,1005463,Clinton,NJ,8809,,Hunterdon,40.627824,-74.935934,561210,C,Other,5523.58,5518.1,2.5,2.98,,,,,,,,,,5523.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
HUNTINGTON ALLOYS CORPORATION,1007593,Huntington,WV,25705,3200 RIVERSIDE DRIVE,Cabell,38.414353,-82.384179,331491,C,Metals,96359.788,96260.6,45.25,53.938,,,,,,,,,,96359.788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
HUNTINGTON INGALLS INCORPORATED,1001958,Newport News,VA,23607,4101 WASHINGTON AVE,Newport News City,36.990641,-76.432803,336611,"C,Q",Metals,81128.738,80937.8,62.5,128.438,,,,,,,,,,81069.038,,,,,,,,,,,,59.7,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
HUNTSMAN PETROCHEMICAL LLC,1002993,Conroe,TX,77301,5451 JEFFERSON CHEMICAL ROAD,Montgomery,30.311361,-95.387083,325199,C,Chemicals,59427.776,59366.4,28,33.376,,,,,,,,,,59427.776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
HUNTSMAN PETROCHEMICAL LLC PORT NECHES PERFORMANCE PRODUCTS,1007909,Port Neches,TX,77651,6001 Highway 366,Jefferson,29.989935,-93.946562,325110,"C,X",Chemicals,1424941.474,1410858.2,8290.75,5792.524,,,,,,,,,,1162671.062,,,,,,,,,,,,,,,,,,262270.412,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
HUNTSVILLE SOLID WASTE DISPOSAL AUTHORIT,1003244,Huntsville,AL,35805,5251 TRIANA BLVD SW,Madison,34.66979,-86.61282,562213,C,Waste,101113.028,96552.4,1778.5,2782.128,,,,,,,,,106333,101113.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
HURON LANDFILL CORPORATION,1003540,Bad Axe,MI,48413,4151 S MCMILLAN RD,Huron,43.71744,-83.05832,562212,HH,Waste,60630.5,,60630.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60630.5,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
HURON REAL ESTATE ASSOCIATES,1002165,Endicott,NY,13760,1701 NORTH ST,Broome,42.10578,-76.04738,531120,C,Other,38586.604,38546.6,18.25,21.754,,,,,,,,,,38586.604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
HUSKER AG L L C,1005369,Plainview,NE,68769,54048 HIGHWAY 20,Pierce,42.35006,-97.70689,325193,C,Other,85160.68,85073,40,47.68,,,,,,,,,,85160.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
HYLAND LANDFILL,1005258,Angelica,NY,14709,6653 HERDMAN RD,Allegany,42.28678,-78.00792,562212,"C,HH",Waste,60747.78,24.5,60653.25,70.03,,,,,,,,,19440.1,124.28,,,,,,,,,,,,,,,,,,,,,,,,,,,60623.5,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
"HYUNDAI MOTOR MANUFACTURING ALABAMA, LLC",1007393,Montgomery,AL,36105,700 HYUNDAI BOULEVARD,Montgomery,32.27771,-86.32533,336111,"C,QQ","Import and Export of Equipment Containing Fluorintaed GHGs,Other",32176.568,32141.4,15.5,19.668,,,,,,,,,,32176.568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
Habersham County - S.R.-13 Municipal Solid Waste Landfill,1011008,Mt. Airy,GA,30563,4900 Dicks Hill Parkway,Habersham,34.55225,-83.45361,562212,HH,Waste,35229.75,,35229.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35229.75,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
Hagerman Compressor Station,1011890,Trout Run,PA,17771,3005 Hagerman Run Road,Lycoming,41.45731,-77.04759,486210,C,Petroleum and Natural Gas Systems,31285.932,31253.6,14.75,17.582,,,,,,,,,,31285.932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
Hagood,1000973,Charleston Heights,SC,29405,2200 HAGOOD ROAD,Charleston,32.8265,-79.9634,221112,"C,D",Power Plants,20460.79,20433.9,10.5,16.39,,,,,,,,,,5285.108,15175.682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,
"Haier US Appliance Solutions, Inc.",1009577,Louisville,KY,40225,4000 Buechel Bank Road,Jefferson,38.17815,-85.65208,335222,"C,QQ","Import and Export of Equipment Containing Fluorintaed GHGs,Other",27261.748,27233.8,12.75,15.198,,,,,,,,,,27261.748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
Hall County Allen Creek Landfill,1004156,Gainesville,GA,30507,2665 Allen Creek Road,Hall,34.260313,-83.788611,562212,HH,Waste,18801.25,,18801.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18801.25,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
Hall County Candler Road MSWLF,1003972,Gainesville,GA,30507,1700 Oakbrook Drive,Hall,34.24738,-83.79904,562212,HH,Waste,55716.25,,55716.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55716.25,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
Hall Summit Compressor Station,1003480,Ringgold,LA,71037,,Bienville,32.252687,-93.266645,486210,"C,W-NGTC",Petroleum and Natural Gas Systems,40631.972,33730.4,6882.5,19.072,,,,,,,,,,33757.472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
Halley Plant / Compressor Station,1007537,Kermit,TX,79745,10 Mi. S. of Kermit on St. Hwy 18,Winkler,31.747395,-102.851484,211112,"C,W-PROC",Petroleum and Natural Gas Systems,49394.086,42205.4,7164.25,24.436,,,,,,,,,,42010.192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
Halo Compressor Station,1012046,Sycamore,PA,15364,293 Pine Road,Greene,39.901049,-80.306974,486210,C,Petroleum and Natural Gas Systems,46815.524,46767.3,22,26.224,,,,,,,,,,46815.524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
Hambert Compressor Station,1011533,Gilcrest,CO,80623,18450 Weld County Road 35,Weld,40.2696,-104.724297,211111,C,Petroleum and Natural Gas Systems,31185.632,31153.3,14.75,17.582,,,,,,,,,,31185.632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
